date,long_book,short_book,long_short_return,information_coefficient
2020-02-29,"SBIN.NS, HINDUNILVR.NS, RELIANCE.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",0.0006851552125681087,0.07692307692307693
2020-03-31,"SBIN.NS, RELIANCE.NS, HINDUNILVR.NS","INFY.NS, TCS.NS, MARUTI.NS",-0.0446662601734608,-0.09473742528603801
2020-04-30,"RELIANCE.NS, SBIN.NS, ICICIBANK.NS","INFY.NS, AXISBANK.NS, TCS.NS",-0.03018834952409115,-0.1328671328671329
2020-05-31,"SBIN.NS, RELIANCE.NS, ICICIBANK.NS","INFY.NS, TCS.NS, BHARTIARTL.NS",0.002041507744306781,-0.08818685042742196
2020-06-30,"SBIN.NS, HDFCBANK.NS, RELIANCE.NS","INFY.NS, TCS.NS, HINDUNILVR.NS",0.027562801901625307,0.11908949961751886
2020-07-31,"SBIN.NS, RELIANCE.NS, BHARTIARTL.NS","TCS.NS, INFY.NS, MARUTI.NS",-0.04504069722018034,-0.3846153846153847
2020-08-31,"RELIANCE.NS, SBIN.NS, BHARTIARTL.NS","INFY.NS, TCS.NS, HINDUNILVR.NS",-0.06849055786479297,-0.3450789794499594
2020-09-30,"SBIN.NS, HDFCBANK.NS, RELIANCE.NS","TCS.NS, SUNPHARMA.NS, MARUTI.NS",0.1208782765415727,0.5174825174825175
2020-10-31,"SBIN.NS, LT.NS, RELIANCE.NS","TCS.NS, ICICIBANK.NS, INFY.NS",-0.055242460781495605,-0.0701758705822504
2020-11-30,"RELIANCE.NS, SBIN.NS, SUNPHARMA.NS","INFY.NS, ICICIBANK.NS, HINDUNILVR.NS",-0.0010984449031258836,-0.2662000579685716
2020-12-31,"RELIANCE.NS, SBIN.NS, HINDUNILVR.NS","INFY.NS, TCS.NS, BHARTIARTL.NS",0.026986568849182418,0.32574480777733106
2021-01-31,"RELIANCE.NS, HDFCBANK.NS, LT.NS","INFY.NS, ICICIBANK.NS, TCS.NS",0.04289958559512459,0.3017562435036767
2021-02-28,"SBIN.NS, RELIANCE.NS, SUNPHARMA.NS","TCS.NS, ICICIBANK.NS, BHARTIARTL.NS",0.08986075562674456,0.5228102358377653
2021-03-31,"RELIANCE.NS, HDFCBANK.NS, SBIN.NS","TCS.NS, ICICIBANK.NS, BHARTIARTL.NS",0.04006427337556688,0.2937062937062937
2021-04-30,"HDFCBANK.NS, RELIANCE.NS, HINDUNILVR.NS","TCS.NS, AXISBANK.NS, ICICIBANK.NS",0.030358268364414208,0.32924744011902274
2021-05-31,"RELIANCE.NS, HINDUNILVR.NS, SBIN.NS","TCS.NS, AXISBANK.NS, INFY.NS",-0.0017792741822924701,0.21366057284319562
2021-06-30,"RELIANCE.NS, SUNPHARMA.NS, HDFCBANK.NS","TCS.NS, ICICIBANK.NS, INFY.NS",0.05957991792369821,0.547371790541553
2021-07-31,"RELIANCE.NS, SBIN.NS, LT.NS","TCS.NS, INFY.NS, ICICIBANK.NS",0.05411411550692543,0.29473865644545166
2021-08-31,"RELIANCE.NS, HDFCBANK.NS, SBIN.NS","TCS.NS, INFY.NS, AXISBANK.NS",0.02471610632453962,0.15384615384615385
2021-09-30,"RELIANCE.NS, HDFCBANK.NS, SBIN.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",-0.0005278101774798677,0.08756580854229329
2021-10-31,"RELIANCE.NS, SBIN.NS, HINDUNILVR.NS","TCS.NS, INFY.NS, MARUTI.NS",0.011311475448454861,0.26666830821255144
2021-11-30,"RELIANCE.NS, HINDUNILVR.NS, SUNPHARMA.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",-0.058697795285940435,-0.3076923076923077
2021-12-31,"RELIANCE.NS, AXISBANK.NS, HINDUNILVR.NS","TCS.NS, INFY.NS, LT.NS",0.009780619907664066,0.14711055835105272
