principal_component,eigenvalue,explained_variance_pct,cumulative_explained_variance_pct
PC1,0.0012681924853072367,0.5719122832572745,0.5719122832572745
PC2,0.00015540908356284812,0.07008428519257198,0.6419965684498465
PC3,0.00014436753845842009,0.06510491861807934,0.7071014870679259
PC4,0.00013179093223028777,0.059433290953595674,0.7665347780215215
PC5,0.00011292455274359904,0.05092518647100496,0.8174599644925264
PC6,0.00010616011742065627,0.04787465297919585,0.8653346174717222
PC7,9.391510360824343e-05,0.042352562374568664,0.9076871798462909
PC8,7.530570290260263e-05,0.0339603467046941,0.9416475265509849
PC9,6.653650454646624e-05,0.03000573231271645,0.9716532588637014
PC10,6.28577583388458e-05,0.02834674113629851,0.9999999999999999
